workerid,propTimeOnSentMsg,propTimeOnSentMsgSimple,propTimeOnSentMsgComplex,propTimeOnSentMsgUnambiguous,propTimeOnAvailableMsgs,propTimeOnAvailableMsgsSimple,propTimeOnAvailableMsgsComplex,propTimeOnAvailableMsgsUnambiguous,propTimeOnTrgt,propTimeOnTrgtSimple,propTimeOnTrgtComplex,propTimeOnTrgtUnambiguous,propTimeOnDist,propTimeOnDistSimple,propTimeOnDistComplex,propTimeOnDistUnambiguous,propTimeOnComp,propTimeOnCompSimple,propTimeOnCompComplex,propTimeOnCompUnambiguous,propTimeOnNonAOISimple,propTimeOnNonAOIComplex,propTimeOnNonAOIUnambiguous,meanAnswerTime,answerAccuracySimple,answerAccuracyComplex,answerAccuracyUnambiguous,calibrationPrecision
Laura,0.344388679207837,0.16397168606472895,0.36736137046121753,0.5411940565699964,0.02569496114904,0.028015913264565356,0.03866682005800982,0.006578947368421052,0.22085225459459262,0.23200929243588808,0.1957074894586885,0.23833691371285357,0.0678096974510272,0.05187899646293472,0.06994304361798659,0.08505639097744361,0.20891097217586038,0.3925129961937099,0.18019282793951552,0.015306122448979591,0.131611115578173,0.14812844846458204,0.11352756892230575,9484.285714285714,1.0,1.0,1.0,"[86, 76, 85]"
Olha,0.0719393369245994,0.06516324847065214,0.013122795110345916,0.15393012475985035,0.12070600466040433,0.09622421425596307,0.22520598014571008,0.020683273309323732,0.3238666021878221,0.3582766265890984,0.2870785348544587,0.32683915585293083,0.2554319005333435,0.2442186698105767,0.19350461259770507,0.3468575488563502,0.166808480545036,0.17825324755593397,0.2058703356038504,0.10367520295789548,0.0578639933177757,0.0752177416879298,0.048014694263649474,37141.21428571428,1.0,1.0,1.0,"[72, 84, 68]"
merel,0.1678141936783218,0.14197359453540037,0.12299234531350493,0.25614225306299465,0.10728322114118695,0.10098400854094121,0.15195008360130555,0.05932365881634587,0.14264808206528784,0.1435954528545662,0.12539093783870198,0.16303529886192225,0.17360658469376375,0.2169366045761863,0.12642327468949593,0.17842319734607037,0.20346689930872414,0.22693953891997926,0.2488289230048583,0.11742357017448751,0.16957080057292664,0.2244144355521333,0.22565202173817936,7431.071428571428,0.8,1.0,1.0,"[50, 49, 70]"
test_ee,0.16471220397503641,0.15154990039200564,0.17538960051316305,0.16781833778116662,0.12511919190545082,0.0871062271062271,0.21559666223600651,0.05953855999128588,0.26567527191444584,0.38087192339823916,0.2231216646056382,0.17487146669571374,0.2076215089815705,0.11352869352869352,0.07522136768527762,0.4907377049180328,0.20843668588036315,0.24502075702075704,0.25762598174391665,0.10121997712542889,0.0219224985540775,0.05304472321599799,0.005813953488372093,7021.571428571428,1.0,1.0,1.0,"[79, 49, 61]"
test_iza,0.08903029399441861,0.09063476988861907,0.05030796333543841,0.13542761245039328,0.3131430788882806,0.3781632540377112,0.4103256785377861,0.11038961038961038,0.20599270126239985,0.13253741915407924,0.18101215624884542,0.3290374851647436,0.24942332666461747,0.28123296955709115,0.12151501568803229,0.3695466617697568,0.12346016839236072,0.09458639662745466,0.2151907225418926,0.04488919041157847,0.022845190735044665,0.02164846364800517,0.010709439813917426,11653.642857142857,1.0,0.8,1.0,"[78, 78, 74]"
varsha,0.021995541097339446,0.026737461727615923,0.0180087228623016,0.021051663103291155,0.2123314216702736,0.16961723725517944,0.2730893028352938,0.18977680073286607,0.20656665441968197,0.2035878688225731,0.2361964695115967,0.17325286755117467,0.2544743826551715,0.17374463253194533,0.23668741847712865,0.3776202755317578,0.2723428496306207,0.3982205718796098,0.20551315212339008,0.1985328187034226,0.0280922277830765,0.03050493419028919,0.039765574377487733,23598.928571428572,1.0,1.0,1.0,"[76, 80, 78]"
veratest,0.09211904488791067,0.06279633938478003,0.12847031963470318,0.08333333333333333,0.040023091720721445,0.09428687904024227,0.017777777777777778,0.0,0.3697559162567972,0.33943630847640616,0.4948820395738204,0.2512477718360071,0.2152568352139264,0.1058890732395169,0.16055555555555553,0.4203431372549019,0.271627399092251,0.3711437521891731,0.1933523592085236,0.24507575757575759,0.02644764766988148,0.004961948249619483,0.0,4637.857142857143,1.0,1.0,1.0,"[88, 73, 83]"
