"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"1",0,3449,3549,592.666666666667,264.666666666667,4.94200000000006,3.95359999999999,-9.66666666666669,10.6666666666667,100,"fixation"
"2",0,3849,4299,752,155,61.2808000000001,7.90719999999997,-21.6666666666667,7.83333333333333,450,"fixation"
"3",0,4799,5299,209.5,380.166666666667,7.16589999999999,5.93040000000004,19.3333333333333,8.66666666666666,500,"fixation"
"4",0,5499,5598,277.666666666667,393.333333333333,4.94200000000001,6.42459999999997,-16,-11,99,"fixation"
"5",0,5698,5998,377.333333333333,397.5,22.7332,5.68329999999997,-15.6666666666667,-5,300,"fixation"
"6",0,6199,6349,545,278,0.988399999999944,2.47099999999994,-4.5,11.6666666666667,150,"fixation"
"7",0,6448,6748,568.833333333333,318.166666666667,36.3237000000001,3.95360000000003,-22.6666666666666,-8.5,300,"fixation"
"8",0,6948,7199,483.333333333333,383,11.3666,8.8956,10.6666666666667,6.83333333333334,251,"fixation"
"9",0,9981,10282,547.666666666667,827.833333333333,38.0534,6.67169999999992,21.3333333333333,12.1666666666667,301,"fixation"
"10",0,10582,11031,732.666666666667,691.666666666667,23.2273999999999,8.8956,-16.3333333333334,-13.6666666666667,449,"fixation"
"11",0,11777,12016,1466.33333333333,467.333333333333,14.826,7.90720000000006,16.5,-9.83333333333334,239,"fixation"
"12",0,13482,13582,707.166666666667,-26.8333333333333,1.23550000000006,1.2355,-18.5,1.16666666666667,100,"fixation"
"13",0,13782,13981,886.666666666667,17.8333333333333,6.17750000000003,10.6253,18.8333333333333,-12.6666666666667,199,"fixation"
"14",0,15332,15431,1182.16666666667,260,3.21229999999994,0.988399999999986,-15.6666666666666,-1.5,99,"fixation"
"15",0,15532,15631,1113.16666666667,273.833333333333,0.247099999999944,3.7065,7.66666666666663,-6.5,99,"fixation"
"16",0,17331,17832,697.333333333333,621,8.15429999999992,12.6020999999999,14.8333333333333,10.3333333333333,501,"fixation"
"17",0,18249,18499,457.333333333333,494.666666666667,11.8607999999999,11.8608,11.5,-7.83333333333334,250,"fixation"
"18",0,20949,21148,543.666666666667,536.333333333333,13.3434,4.69490000000003,-18.5,8.16666666666669,199,"fixation"
"19",0,22348,22449,746.5,141.166666666667,10.6253,8.1543,15,-9.5,101,"fixation"
"20",0,24765,24861,741.166666666667,502.833333333333,4.69489999999994,3.21230000000003,9.83333333333331,-5.83333333333331,96,"fixation"
"21",0,25515,25664,650,413.333333333333,7.90719999999989,0.988400000000028,24.3333333333333,3.5,149,"fixation"
"23",1,99,650,799,161,21.2506000000001,8.8956,-17.8333333333334,-11.1666666666667,551,"fixation"
"24",1,800,1000,764,120.666666666667,5.93040000000008,5.93039999999999,-18.0000000000001,7.83333333333334,200,"fixation"
"25",1,1450,1800,698.666666666667,172,24.2158000000001,10.8724,17.5,11.5,350,"fixation"
"26",1,2099,2549,776.666666666667,296.666666666667,15.3202000000001,15.8144,-14.8333333333333,10,450,"fixation"
"27",1,3715,3816,841.333333333333,378.5,6.42459999999989,7.66009999999999,-7.83333333333337,-9.5,101,"fixation"
"29",2,534,634,833.5,75,4.20069999999997,4.942,-14.3333333333333,1.5,100,"fixation"
"30",2,883,1634,788.333333333333,132.333333333333,71.1648,6.42460000000001,-26,-11.1666666666667,751,"fixation"
"32",3,548,648,831.166666666667,193.833333333333,0.247099999999944,2.71809999999999,-13.6666666666667,7,100,"fixation"
"33",3,1149,1248,672.833333333333,134.166666666667,0.7413,7.16590000000001,-10.3333333333334,-7.16666666666667,99,"fixation"
"34",3,1598,1749,889.333333333333,198.666666666667,2.47100000000011,5.43619999999999,-8,4.5,151,"fixation"
"35",3,2547,2747,805.333333333333,265.5,14.826,4.20070000000001,-21.8333333333334,4,200,"fixation"
"36",3,3499,3646,932.333333333333,470.333333333333,3.45940000000006,0.988400000000112,-21.5,-4.16666666666669,147,"fixation"
"38",4,84,185,746.333333333333,136,0.494199999999972,4.4478,9.66666666666669,10.6666666666667,101,"fixation"
"39",4,984,1133,781.333333333333,180.666666666667,5.43620000000011,0.988399999999986,5.5,10.3333333333333,149,"fixation"
"40",4,2699,2800,554.5,558.166666666667,1.23549999999997,0.247099999999944,-11,11.1666666666666,101,"fixation"
"41",4,3300,3400,739.5,294.333333333333,7.16589999999997,1.97679999999997,-19.6666666666666,-6.33333333333331,100,"fixation"
"42",4,3650,3950,683.833333333333,410,36.0766000000001,5.43619999999994,22.8333333333333,-7.83333333333334,300,"fixation"
"43",4,5300,5450,547,530,15.8143999999999,6.42459999999989,19.3333333333333,6.66666666666663,150,"fixation"
"44",4,5599,5900,418.333333333333,476.5,14.3318,5.1891,13.8333333333333,10.1666666666667,301,"fixation"
"45",4,6151,6286,635.333333333333,470.666666666667,1.97680000000006,1.97680000000006,-14.3333333333333,9.5,135,"fixation"
"46",4,6570,6767,808.333333333333,443.166666666667,6.6717,3.45940000000001,-16.3333333333333,-5.66666666666669,197,"fixation"
"47",4,7233,7684,624,361.333333333333,30.6404000000001,21.7448,-25,12,451,"fixation"
"48",4,8583,8783,721.333333333333,512.333333333333,10.6253,5.43620000000011,-8.66666666666669,11.8333333333333,200,"fixation"
"49",4,9383,9533,620,376,1.4826,1.4826,15.5,16.6666666666667,150,"fixation"
"50",4,9783,9882,795.5,436.666666666667,12.1078999999999,0.988399999999986,-20.1666666666666,-6.16666666666666,99,"fixation"
"51",4,10582,10684,622.666666666667,403,0.494200000000056,2.9652,16.1666666666666,-6.16666666666663,102,"fixation"
"52",4,10983,11133,420,456,22.239,0.988400000000028,29,-3.66666666666666,150,"fixation"
"53",4,11233,11383,521.333333333333,427.333333333333,2.47099999999994,7.90719999999989,-14.5,8.83333333333331,150,"fixation"
"54",4,11585,11734,538.333333333333,369.333333333333,6.91879999999994,10.8724,26.6666666666667,10.6666666666667,149,"fixation"
"55",4,12383,12533,754.333333333333,227,14.826,6.42459999999997,9,-7.00000000000001,150,"fixation"
"56",4,13134,13432,859.333333333333,360.333333333333,31.1346,3.95359999999999,-27.9999999999999,-11.5,298,"fixation"
"57",4,13733,13883,1010,453,8.8956,5.93039999999992,13.8333333333333,-10.3333333333333,150,"fixation"
"58",4,14033,14133,913.5,381.5,5.68329999999997,6.17749999999999,7.66666666666669,10.5,100,"fixation"
"59",4,14582,14783,551.666666666667,483.5,4.94200000000006,0.988399999999986,20.6666666666666,-8.66666666666666,201,"fixation"
"60",4,16433,16533,869.333333333333,459,7.413,1.97680000000001,-15,4.16666666666669,100,"fixation"
